,metric,value,step
377,Loss/train,0.1577557772397995,3898976.0
378,Loss/train,0.22024425864219666,3902176.0
379,Loss/train,0.146010622382164,3905376.0
380,Loss/train,0.18283194303512573,3908576.0
381,Loss/train,0.18494197726249695,3911776.0
382,Loss/train,0.1875017285346985,3914976.0
383,Loss/train,0.17293938994407654,3918176.0
384,Loss/train,0.21142764389514923,3921376.0
385,Loss/train,0.18288645148277283,3924576.0
386,Loss/train,0.14385201036930084,3927776.0
387,Loss/train,0.2306945025920868,3930976.0
388,Loss/train,0.1620292365550995,3934176.0
389,Loss/train,0.142243891954422,3937376.0
390,Loss/train,0.18859010934829712,3940576.0
391,Loss/train,0.20561043918132782,3943776.0
392,Loss/train,0.1686507910490036,3946976.0
393,Loss/train,0.14930221438407898,3950176.0
394,Loss/train,0.13979162275791168,3953376.0
395,Loss/train,0.15575529634952545,3956576.0
396,Loss/train,0.12367021292448044,3959776.0
397,Loss/train,0.19510963559150696,3962976.0
398,Loss/train,0.13951322436332703,3966176.0
399,Loss/train,0.13098657131195068,3969376.0
400,Loss/train,0.16088199615478516,3972576.0
401,Loss/train,0.15167450904846191,3975776.0
402,Loss/train,0.1330593079328537,3978976.0
403,Loss/train,0.20253564417362213,3982176.0
404,Loss/train,0.1770135909318924,3985376.0
405,Loss/train,0.15198567509651184,3988576.0
406,Loss/train,0.16075339913368225,3991776.0
407,Loss/train,0.17371481657028198,3994976.0
408,Loss/train,0.148924320936203,3998176.0
409,Loss/train,0.20261257886886597,4001376.0
410,Loss/train,0.16174328327178955,4004576.0
411,Loss/train,0.20735035836696625,4007776.0
412,Loss/train,0.17744630575180054,4010976.0
413,Loss/train,0.18826395273208618,4014176.0
414,Loss/train,0.1687861979007721,4017376.0
415,Loss/train,0.1747262179851532,4020576.0
416,Loss/train,0.15772956609725952,4023776.0
417,Loss/train,0.1385636031627655,4026976.0
418,Loss/train,0.2060377597808838,4030176.0
419,Loss/train,0.1921064257621765,4033376.0
420,Loss/train,0.1646905392408371,4036576.0
421,Loss/train,0.15454845130443573,4039776.0
422,Loss/train,0.14812316000461578,4042976.0
423,Loss/train,0.22061142325401306,4046176.0
424,Loss/train,0.15139682590961456,4049376.0
425,Loss/train,0.1965024173259735,4052576.0
426,Loss/train,0.15412019193172455,4055776.0
427,Loss/train,0.17239782214164734,4058976.0
428,Loss/train,0.18203993141651154,4062176.0
429,Loss/train,0.2208670973777771,4065376.0
430,Loss/train,0.17318254709243774,4068576.0
431,Loss/train,0.143219456076622,4071776.0
432,Loss/train,0.18945856392383575,4074976.0
433,Loss/train,0.18326857686042786,4078176.0
434,Loss/train,0.15139898657798767,4081376.0
435,Loss/train,0.1742350310087204,4084576.0
436,Loss/train,0.17463625967502594,4087776.0
437,Loss/train,0.26114019751548767,4090976.0
438,Loss/train,0.2041892558336258,4094176.0
439,Loss/train,0.25366848707199097,4097376.0
440,Loss/train,0.23694941401481628,4100576.0
441,Loss/train,0.17393659055233002,4103776.0
442,Loss/train,0.14158961176872253,4106976.0
443,Loss/train,0.1812393218278885,4110176.0
444,Loss/train,0.2030523270368576,4113376.0
445,Loss/train,0.15530742704868317,4116576.0
446,Loss/train,0.186210036277771,4119776.0
447,Loss/train,0.1728169471025467,4122976.0
448,Loss/train,0.1422353833913803,4126176.0
449,Loss/train,0.14939990639686584,4129376.0
450,Loss/train,0.22151735424995422,4132576.0
451,Loss/train,0.16866186261177063,4135776.0
452,Loss/train,0.16242879629135132,4138976.0
453,Loss/train,0.12793858349323273,4142176.0
454,Loss/train,0.1769178807735443,4145376.0
455,Loss/train,0.14867772161960602,4148576.0
456,Loss/train,0.18863101303577423,4151776.0
457,Loss/train,0.1639833003282547,4154976.0
458,Loss/train,0.16094394028186798,4158176.0
459,Loss/train,0.19245128333568573,4161376.0
460,Loss/train,0.174567312002182,4164576.0
